J02	J47	9.2195444573 	0
J47	F44	10.8166538264 	0
J02	D2	40.2616442784 	0
J47	J48	16.1245154966 	0
F45	J47	12.5299640861 	0
J48	F47	12.0000000000 	0
F46	J48	14.1421356237 	0
D2	J12	24.3515913238 	0
D2	J32	18.6815416923 	0
D2	J03	21.0950231097 	0
J03	J32	31.7804971641 	0
J03	J33	29.2745623366 	0
J03	J48	18.3575597507 	0
J48	Z01	23.4307490277 	0
J32	J13	25.0199920064 	0
J12	J32	13.9283882772 	0
J32	F24	9.2195444573 	0
J32	J33	17.0000000000 	0
J33	F25	10.1980390272 	0
J33	J04	19.8494332413 	0
J04	Z01	18.7882942281 	0
Z01	J50	18.4390889146 	0
J50	F50	13.0384048104 	0
J04	J50	22.5610283454 	0
J49	J50	25.4950975680 	0
J33	J34	22.3606797750 	0
J34	F26	10.0000000000 	0
J34	J05	17.0293863659 	0
J05	J49	11.0000000000 	0
J49	F49	11.3137084990 	0
J49	F48	11.6619037897 	0
J13	J21	20.0997512422 	0
J14	J35	15.0000000000 	0
J35	F27	9.4339811321 	0
J35	F28	9.4339811321 	0
J34	J36	25.4558441227 	0
J36	F29	9.8994949366 	0
J36	F30	9.8994949366 	0
J36	J06	14.3178210633 	0
J06	J51	8.4852813742 	0
J51	Z02	11.6619037897 	0
Z02	J54	13.0000000000 	0
J54	J57	10.0498756211 	0
J57	J58	14.7648230602 	0
J54	J55	19.0000000000 	0
J55	J58	17.7200451467 	0
J55	J59	17.0293863659 	0
J55	J53	15.6204993518 	0
J53	J59	21.0237960416 	0
J53	F51	11.1803398875 	0
J50	J53	18.1107702763 	0
J53	J56	26.6833281283 	0
F52	J56	10.0000000000 	0
J56	F53	11.6619037897 	0
J56	J60	12.0830459736 	0
J60	F55	7.8102496759 	0
J60	F56	8.4852813742 	0
J59	F54	12.2065556157 	0
J58	J59	18.9736659610 	0
J59	J62	24.0831891576 	0
J62	F59	13.0384048104 	0
J62	F60	10.4403065089 	0
J62	J60	23.3238075794 	0
J34	J35	15.0000000000 	0
J21	F01	8.6023252670 	0
J21	F02	8.5440037453 	0
J21	F03	8.4852813742 	0
J21	J14	18.0277563773 	0
J21	J22	20.3960780544 	0
J22	F06	6.3245553203 	0
J22	F04	10.2956301410 	0
J22	F05	10.2956301410 	0
J22	J23	17.0293863659 	0
J23	F07	7.6157731059 	0
J23	J24	27.6586333719 	0
J24	F08	11.6619037897 	0
J24	F09	9.2195444573 	0
J24	J26	19.2353840617 	0
J26	F12	9.8488578018 	0
J26	F13	12.6491106407 	0
J26	J27	34.4383507154 	0
J27	F17	10.1980390272 	0
J27	F14	13.8924439894 	0
J27	F15	7.6157731059 	0
J27	F16	11.4017542510 	0
J23	J25	17.4642491966 	0
J25	F11	14.0356688476 	0
J24	J25	22.3606797750 	0
J25	F10	16.0312195419 	0
J25	Z06	29.4108823397 	0
